id,user_id,trim_id,vin,estimated_cost,registration_date
1,4,218,1GYS3NKJ8FR829982,372212,2016-02-06 03:34:38
2,338,584,3FADP4AJ8FM788565,281474,2016-02-09 20:34:40
3,218,973,JH4KA96663C226924,225964,2021-02-16 01:44:19
4,431,919,1G6DM1E38D0160117,470744,2016-05-12 16:42:41
5,143,339,4T1BF3EK0AU600039,84942,2015-06-19 08:47:01
6,762,525,WAUDF98E58A404368,369574,2016-05-31 17:26:04
7,587,653,JHMZF1C61DS083569,493543,2017-05-14 13:04:45
8,123,466,2T1BU4EE3DC453095,168261,2016-03-22 21:55:07
9,782,189,WBAVB33586A597780,148649,2017-06-27 11:58:33
10,76,311,3VW517AT5EM297997,149296,2016-10-21 20:16:02
11,324,943,3N1AB6AP5BL137831,202198,2021-05-12 03:00:09
12,936,128,WAUMF98K39A987708,290878,2015-10-21 17:17:54
13,212,241,5NPDH4AE5FH041523,462448,2017-11-15 09:01:52
14,365,893,JN1CV6AP2BM595302,441089,2020-11-27 15:42:23
15,713,170,5N1AL0MM3DC387300,135595,2016-01-17 06:12:26
16,599,167,WBAWV53527P798192,363093,2017-06-05 23:34:12
17,890,679,3N1AB7AP1FY017541,388510,2015-07-03 19:28:14
18,352,371,5N1AN0NUXCN918598,309607,2020-02-13 15:10:59
19,223,126,1GYEC63888R220246,430221,2021-12-05 01:37:07
20,199,709,3D4PH5FV2AT058559,473580,2016-08-16 10:17:08
21,52,335,2G4WY55J611466731,46262,2021-05-17 03:31:37
22,453,458,WBAWV53557P441699,331134,2018-06-10 12:32:27
23,744,968,WBA3N9C53EK736207,147516,2018-04-15 16:58:14
24,151,308,JM1BL1H36A1936219,395624,2018-11-08 13:16:18
25,540,29,WAUDF98E57A164060,274709,2020-06-23 10:59:12
26,929,510,1VWAH7A37EC541919,295517,2015-01-31 14:38:19
27,801,859,5N1AZ2MH6FN021545,355715,2018-01-28 03:50:31
28,420,428,WAUHF98P37A623377,409121,2021-11-03 17:04:10
29,586,52,5BZAF0AA2FN005609,215219,2016-08-12 00:18:15
30,874,204,1C6RD7JTXCS441194,104957,2020-07-09 13:07:34
31,763,336,3VW1K7AJ8CM264967,357727,2016-05-09 05:54:46
32,718,446,5NPDH4AEXFH504336,474711,2017-08-09 16:59:47
33,989,643,5FRYD3H47FB612074,282725,2016-07-30 07:53:24
34,90,937,19XFB4F25DE487794,328954,2017-12-19 08:12:21
35,199,313,WA1LMAFE7FD908385,224087,2018-08-15 06:33:58
36,435,633,WAUUL98E76A526154,342315,2020-08-13 08:15:35
37,844,225,WVGAK7A93AD335974,91589,2017-09-29 04:20:30
38,22,373,WAUVFAFR1DA815143,46742,2015-03-26 01:42:59
39,142,113,SALWR2VF4FA758847,300766,2018-12-16 16:42:03
40,376,443,1G4GC5GR7DF336489,236257,2017-08-28 19:59:21
41,865,776,5N1BA0ND2FN839317,215537,2021-10-12 17:53:43
42,726,133,WAUWGAFB9BN182675,157295,2021-03-16 18:30:28
43,791,362,KNDJT2A5XD7519135,178654,2015-08-19 15:38:31
44,510,863,1GD02ZCG4BF949327,244593,2016-07-13 18:28:30
45,327,193,5XYZG3AB0BG944379,448403,2016-09-11 21:55:35
46,206,116,WA1CMAFE9CD688176,486544,2019-12-21 13:46:11
47,734,749,2LMDJ6JC2AB312380,75352,2016-09-29 13:46:18
48,723,409,1G6DS5E30C0395705,367304,2016-11-29 12:57:15
49,33,215,WBA3C1C58DF544232,179872,2015-10-06 10:36:46
50,150,687,JH4DC54896S680448,306316,2021-12-06 15:55:34
51,149,873,KNADH4A30A6409525,142334,2017-04-17 03:39:07
52,432,77,WBSCL93401L017400,116314,2021-07-15 21:10:57
53,925,865,1YVHZ8AHXA5243261,378237,2021-04-19 06:06:25
54,309,771,WA1CYAFEXAD731148,493292,2021-05-21 15:29:13
55,244,100,1G4PP5SK5F4615792,483674,2018-03-28 22:33:23
56,818,977,19XFA1E85AE162291,469161,2017-02-11 02:14:55
57,948,809,WAUML64BX2N520555,268165,2021-07-12 05:33:14
58,264,320,WDDGF4HB7DF195887,351168,2016-12-14 02:32:19
59,51,15,2G4GY5GV1B9039173,196114,2020-05-06 13:33:23
60,749,455,5FPYK1F27EB041964,405523,2017-03-26 02:23:09
61,610,79,3GYFNEEY3BS145031,286570,2021-02-13 09:24:28
62,654,168,YV1382MS2A2726570,418426,2020-11-15 18:46:32
63,605,261,JTJBM7FX6A5623182,474611,2019-08-26 02:40:19
64,469,338,KNADM5A37D6921370,444513,2018-12-02 13:23:06
65,923,47,KNALN4D78E5165184,53817,2018-03-08 09:40:57
66,963,542,1FTWF3C50AE547109,198280,2019-01-14 02:55:45
67,42,669,WVGEF9BP7DD658654,481128,2020-12-11 10:41:39
68,991,176,JH4KA96684C387695,126008,2021-05-13 07:40:36
69,394,99,WBANF33536B030181,244946,2018-08-28 03:13:28
70,435,54,1G6DZ67A480550339,298191,2018-10-16 17:39:04
71,517,358,YV140MAM6F1703884,318075,2019-09-14 04:25:05
72,978,179,WA1MMBFE7AD742372,167014,2017-10-04 07:45:02
73,293,683,1FAHP2D82FG542846,212227,2018-08-20 06:36:13
74,430,821,WBASN4C50CC757022,431632,2019-11-02 18:08:13
75,925,154,1N4AA5AP5AC635988,85818,2021-10-16 21:02:34
76,495,483,5YMGY0C5XBL937980,85990,2015-04-19 15:46:15
77,950,97,WAUKH98E86A426203,328231,2016-08-13 21:04:41
78,303,646,3C6JR6CT6DG004534,56317,2021-12-17 04:24:02
79,11,909,JTEBU4BF3EK053269,219780,2021-12-08 11:10:44
80,973,401,1GTN1TEX9DZ379091,406728,2020-11-26 14:13:20
81,546,222,JTHBP5C28A5417917,122318,2021-01-18 09:12:01
82,788,540,JTHBP5C27D5770914,283377,2015-04-03 10:28:31
83,854,423,1FMNE1BWXAD075791,400613,2018-08-18 11:55:09
84,252,866,1N4AL2AP1AN754540,471621,2021-12-08 00:07:56
85,75,906,WAUNF78P26A657820,190542,2018-09-02 08:51:58
86,275,930,YV1940AS5B1648940,419959,2018-08-19 06:35:36
87,290,402,1G6DM577180557052,168967,2017-11-15 21:55:01
88,342,703,WAUFL44D22N295952,55787,2021-03-12 01:30:17
89,276,791,WVGAV3AX4EW034817,347462,2020-03-13 21:50:33
90,795,243,5FPYK1F25AB074035,338527,2016-02-28 07:34:46
91,108,74,WAUJC58E15A789346,296498,2018-05-25 03:39:13
92,924,150,3N1CE2CP6FL106003,247623,2020-04-04 16:10:25
93,348,379,WBABS33473P480730,220979,2015-10-16 21:04:57
94,421,688,3C4PDCAB4CT253866,88239,2018-01-04 04:16:24
95,824,20,KMHCM3AC6AU710442,255420,2015-12-22 01:50:22
96,316,236,1FTEX1EW0AF153378,72039,2017-04-12 10:31:00
97,132,628,1N4AA5AP4EC411973,276517,2021-10-05 09:01:51
98,681,855,5TDBCRFH6FS900201,243241,2021-02-01 22:44:06
99,548,899,KMHFC4DF9BA883256,461027,2015-10-17 10:46:54
100,336,625,SCFFDABE8BG744051,67169,2018-10-10 01:17:56
101,249,592,WDDPK4HA6DF407343,378347,2018-11-18 17:37:06
102,814,670,1G6YX36D365054532,39725,2016-04-01 20:51:57
103,794,882,KNAFZ6A30F5964330,245089,2020-09-20 14:49:46
104,92,306,1G6YX36D785213734,181235,2018-09-07 12:08:33
105,690,53,3GYFK62848G189649,90716,2017-11-24 09:15:36
106,262,250,5LMJJ3J59CE451893,75133,2015-12-20 12:40:38
107,439,971,WAUDH78E98A693026,219636,2016-11-06 06:20:42
108,439,673,JTDZN3EU6D3279108,74490,2021-12-01 09:55:19
109,475,526,5TDBKRFH3FS650516,237152,2020-08-15 08:00:22
110,272,629,2HNYD2H65CH904450,150718,2015-05-02 02:34:22
111,418,982,2HNYB1H63CH147774,496771,2016-04-03 02:32:02
112,794,562,SCFEDCAD1CG095534,248864,2021-08-28 09:16:44
113,335,759,1FTEX1C88AK383973,381782,2015-12-01 00:03:39
114,912,656,WAUFFAFL2DN225011,55632,2020-07-11 21:06:55
115,866,819,KM8JT3AB1DU453969,212651,2020-04-20 20:58:07
116,403,594,WAUBF98E78A770999,236247,2020-04-29 02:32:48
117,578,582,SCFEDCAD8BG367155,391705,2016-12-25 20:31:39
118,977,278,WAUGL78E35A682076,156939,2016-07-10 20:11:22
119,102,501,WP0AA2A84AU618076,439014,2019-04-27 04:45:51
120,470,978,WBA3A9C56CF928948,265634,2015-11-01 15:31:26
