id,city_id,address
1,50,7660 Surrey Park
2,902,96009 Carey Court
3,283,411 Old Shore Court
4,110,68 Miller Place
5,11,1060 Debs Junction
6,33,82 Lillian Crossing
7,113,338 Logan Parkway
8,585,82591 Elgar Court
9,922,76 Reinke Junction
10,186,02 Sherman Street
11,353,4 Center Court
12,53,369 Evergreen Junction
13,928,4 Montana Lane
14,974,670 Laurel Hill
15,63,59102 Waywood Center
16,491,69849 Ramsey Street
17,575,8826 Canary Place
18,985,06379 Manufacturers Lane
19,787,31 Mariners Cove Road
20,611,7 Doe Crossing Trail
21,159,09 Fieldstone Circle
22,60,48 Redwing Hill
23,202,0 Pleasure Plaza
24,402,57 Loeprich Place
25,211,24 Rowland Hill
26,907,85 Armistice Street
27,624,17 Melrose Court
28,952,44 Welch Street
29,404,061 Mallory Hill
30,196,59807 Stang Court
31,548,88063 Trailsway Place
32,600,54673 Katie Hill
33,413,1 Michigan Place
34,248,9450 Gateway Junction
35,931,1296 Elka Pass
36,207,4 Vernon Point
37,178,23 Scoville Lane
38,144,65054 Chive Drive
39,225,42 Farwell Junction
40,521,802 Tennyson Plaza
41,827,02 Vidon Drive
42,235,528 Thackeray Parkway
43,424,683 Kenwood Road
44,799,927 La Follette Street
45,384,60 Northport Park
46,476,5358 Pierstorff Drive
47,276,632 Orin Alley
48,892,97 Everett Alley
49,265,816 Arizona Terrace
50,98,2 Westport Road
51,732,0406 Marquette Point
52,416,585 Chinook Park
53,906,190 Mitchell Place
54,51,1 Coleman Street
55,848,08592 Morrow Alley
56,796,49 Crescent Oaks Alley
57,139,1831 Montana Junction
58,461,1777 Corben Plaza
59,831,601 Logan Terrace
60,342,203 Kings Court
61,459,22255 Ilene Park
62,456,1 Grim Way
63,391,4 Muir Park
64,788,4898 Jenna Trail
65,877,23 Erie Circle
66,482,5 Schmedeman Lane
67,935,58 Dennis Point
68,208,188 Milwaukee Road
69,446,7369 Bayside Drive
70,574,62155 Prairieview Point
71,299,0 Mayer Parkway
72,716,04 Delaware Court
73,135,95 Miller Center
74,616,3177 Helena Circle
75,505,02 Village Green Lane
76,934,2376 Fieldstone Park
77,307,983 Lake View Plaza
78,644,26 Dixon Parkway
79,986,650 Maple Wood Place
80,401,95 Crest Line Crossing
81,918,1567 Sugar Terrace
82,534,90 Steensland Pass
83,99,51 Fairfield Hill
84,278,0345 Lillian Pass
85,653,603 Haas Hill
86,392,231 Sullivan Hill
87,432,947 Maywood Way
88,228,2 Huxley Street
89,271,09 Daystar Pass
90,512,4 Merry Parkway
91,16,87 Meadow Vale Way
92,739,92 Fisk Alley
93,647,2609 8th Park
94,61,65 Meadow Valley Hill
95,137,78 Elgar Hill
96,691,02 Grayhawk Court
97,501,4340 Warrior Terrace
98,609,981 Lakewood Junction
99,871,337 Tennessee Avenue
100,85,2265 Toban Street
101,149,64433 Starling Circle
102,198,6 Ludington Junction
103,62,89927 Onsgard Junction
104,776,53 Surrey Place
105,694,16118 Morningstar Pass
106,782,2809 Transport Avenue
107,445,94460 Amoth Pass
108,68,14 Merrick Pass
109,300,9 Graedel Hill
110,868,8 Paget Pass
111,867,799 Schiller Junction
112,108,91 Helena Street
113,890,0682 East Place
114,429,34084 Lillian Court
115,615,30401 Declaration Drive
116,403,321 Hintze Pass
117,897,10643 Sullivan Hill
118,340,775 Pepper Wood Circle
119,865,53 Brentwood Circle
120,389,8 Crescent Oaks Trail
121,908,605 Menomonie Place
122,968,3230 Killdeer Alley
123,320,1689 Algoma Park
124,949,4 Menomonie Trail
125,58,6291 5th Crossing
126,853,5408 Warrior Parkway
127,322,658 Jay Way
128,720,299 Muir Lane
129,272,6 Spenser Hill
130,408,49787 Michigan Pass
131,546,287 Fuller Plaza
132,667,89229 Weeping Birch Place
133,154,9374 Eagle Crest Point
134,711,7 Warbler Junction
135,377,66748 Lakewood Plaza
136,633,6 Dahle Way
137,967,43 Vermont Drive
138,156,30 Gale Pass
139,861,44522 Armistice Pass
140,500,5637 Clove Trail
141,20,3219 Dorton Crossing
142,463,68106 Montana Avenue
143,545,57154 Troy Way
144,987,547 Hovde Road
145,540,2151 Heffernan Crossing
146,193,65 Schmedeman Court
147,620,21115 Luster Point
148,700,000 Shopko Crossing
149,561,30 Shasta Drive
150,120,84 Hanson Plaza
151,130,6670 Weeping Birch Trail
152,736,0 Calypso Lane
153,367,83757 4th Way
154,511,14 Anthes Circle
155,147,490 Ryan Hill
156,253,106 Brown Place
157,163,302 Kings Alley
158,710,6541 Oak Court
159,270,10 Crest Line Alley
160,471,07 Morrow Point
161,479,36865 Jackson Road
162,469,5421 Shopko Road
163,460,4 Summer Ridge Drive
